bs,adj_bs_i_0,adj_bs_i_1,adj_bs_i_2,adj_bs_i_3,adj_bs_i_4,adj_bs_i_5,adj_bs_i_6
1012,6618,6614,10887,3713,6549,3209,4275
1013,7099,1767,3712,3452,4656,7097,2185
1014,12741,4999,1322,1318,7320,4656,12017
1015,6898,10390,5523,1683,10955,4017,12082
1016,6736,6874,5991,8486,11012,284,6983
1017,6053,5753,5147,535,50,3836,10556
1018,13031,5524,5069,7491,251,4592,6472
1019,5572,6846,13027,1774,10246,10247,11769
1020,2308,49,3836,3325,9111,5753,598
1021,9109,3325,1885,3836,49,50,2308
1022,4452,4015,4913,11771,6058,4196,6509
1023,606,5797,4879,6793,12159,8237,12158
1024,9524,9522,415,5516,6512,4553,4552
1025,7223,6037,616,9730,52,7109,6429
1026,5294,9108,6075,9731,9100,8725,8228
1027,290,2685,6241,8814,9523,1739,2374
1028,5544,3745,9548,5351,6715,5139,6762
1029,7845,2518,6983,8493,11012,284,5991
1030,1325,7619,7033,1880,9731,5978,8721
1031,509,5147,6053,50,5753,4881,10556
1032,12778,2704,6758,6623,5256,9545,256
1033,2705,11292,5146,5978,2310,3223,9731
1034,4400,9113,6895,9733,6619,10082,7018
1035,4399,1879,5359,7103,8226,8230,603
1036,7330,8600,11033,7093,8611,2203,7436
1037,5318,6894,10395,3360,5924,6284,6423
1038,3789,7425,608,2203,4922,7093,11381
1039,8232,5003,4882,6794,6892,9974,6032
1040,7268,4235,10547,3293,7091,7492,2825
1041,6241,290,4605,7490,11943,8723,10306
1042,7113,2309,7619,8234,1325,1880,6755
1043,9111,49,8706,2308,3836,3325,8709
1044,3455,5083,7438,1878,7323,2554,6721
1045,4591,10958,6273,610,10248,4594,13150
1046,3883,12721,4590,4016,11071,3741,612
1047,7391,2832,3766,11870,7645,5257,4549
1048,8226,7103,9093,260,553,1879,4399
1049,7443,11833,3714,3109,6476,8512,9112
1050,7224,6626,12742,9732,6281,9736,9107
1051,5797,4879,6793,8245,8237,12157,609
1052,1060,6260,6375,1337,261,6219,7475
1053,11381,4922,3789,8764,2203,7093,1344
1054,6364,13119,12157,8237,12019,6793,6176
1055,4594,4914,10958,5638,1061,6273,601
1056,4851,9932,3295,10695,4852,7079,8486
1057,6058,11771,11071,4196,248,5877,4452
1058,5295,5361,7475,261,6219,8227,9110
1059,12747,3459,6879,3716,9103,10872,10548
1060,4017,12082,10390,2040,257,7107,506
1061,9730,52,7223,529,6037,10619,6429
1062,5815,5939,12159,12158,10393,3106,10557
1063,7865,5073,3756,5348,6391,2684,6233
1064,5989,2189,6553,10757,9734,6031,1772
1065,9523,2685,12931,3184,8723,2374,1739
