bs,adj_bs_i_0,adj_bs_i_1,adj_bs_i_2,adj_bs_i_3,adj_bs_i_4,adj_bs_i_5,adj_bs_i_6
154,56.44009627570696,78.84000420295742,97.05724106338924,97.41978306057645,104.8201646065303,110.3762937886271,138.00368013270753
155,21.53387198375048,35.666856712512704,47.7053310157062,54.20419850841981,58.819604559088866,67.90448264362689,109.62192411213938
156,19.920888623291486,29.709176478668198,47.570174616443566,61.677464744481675,63.18694679158324,103.99978480905689,113.10329441716082
157,16.580709766003448,20.300737089356065,50.476733376016895,51.748117741224156,58.393424577134816,68.05404710693361,71.5746325004918
158,22.419106742556547,31.70540529440135,50.8411103228474,57.81212560310415,95.31857807089732,104.46984473989936,116.21483734454289
159,19.529574755935858,31.59309342838066,56.09402845650073,66.92938370820802,71.21754633013136,90.00886456309813,108.19161401099498
160,41.22182603426538,76.95868405847378,78.1457842569869,81.689987239008,99.2773359399604,111.81586008584397,115.35446913461227
161,18.317443332589622,32.16621462005032,36.90279781968055,79.9665621451261,88.37873955961192,106.25674797332115,121.2035034471801
162,11.285300606300476,20.300737089356065,32.44694611672364,44.360313675871545,58.02022146089644,58.558966407294555,73.63437745938602
163,26.686103316786543,31.70540529440135,36.587020785249614,70.39348447051611,85.41433548701826,109.2221809790562,112.83600739490274
164,14.869835758573863,60.87037195748854,82.60810262391914,88.34546546172676,95.68394847780523,101.86259362984639,104.50767126166527
165,19.08998456984175,44.81773553625189,48.199671703156845,56.73771153602348,63.39375153910079,129.82296594144265,134.0421119931932
166,20.136107782866773,32.787396981053504,58.636516477742724,81.34834867248593,100.04602816460331,104.25468428700556,124.23468169672122
205,121.86765288980781,148.781287432118,237.13910622322962,239.10288493777415,242.91726036886052,244.4542766189309,269.72958405563236
213,50.95890129931985,63.63420042589688,104.62590993043044,135.9850578026773,138.97160136952306,177.93175404449994,192.06530792688162
219,42.73355745186573,49.371610568605924,58.9691113270201,146.2353417010195,214.20070825223584,251.76080692991587,264.4987707181718
223,80.23788589748038,231.7736539417425,233.0983512823896,251.76080692991587,293.1603507990721,298.8449427470517,321.81046947814
225,170.38634324271007,174.01720774991907,218.4994961986607,244.4542766189309,254.94037472877463,258.474875773036,273.7454525030104
228,31.912252414167426,36.45365304252935,38.72386033067243,57.15739063451544,77.7465251091703,89.58248585102756,111.27274718345724
229,44.094010564779744,45.45037880503491,85.69652104571183,90.18842775081802,90.84022551630508,92.19486077360683,92.2344405207424
230,54.797237872251976,63.20704131288007,82.6159617390448,87.3484907704474,100.00133364297335,100.24527219706398,100.64754402456927
232,47.59735712594074,50.23525711749621,84.7369982997887,85.1977868616086,94.42998170134423,96.58560456792279,107.0543476146841
233,17.69470158233112,79.50255962428203,90.91202385920889,96.69157640866021,101.12956974206799,141.24098376859607,149.74843019034319
235,34.03988996287037,53.50733611221754,63.5281820382121,76.88861296106198,83.85553170915246,114.84707009940746,116.21669181234553
236,57.81925857402305,82.6159617390448,94.36155624574049,104.51865739412702,109.42950638129854,118.34726059422442,123.79682335209807
237,51.446679452385474,52.889359956927855,60.65216577140552,86.1015237506691,93.55083014890508,118.74247760279717,131.1337421774515
238,30.580074774559908,43.36660632668833,50.89275579745213,81.85569134786786,89.6061466580224,94.74680765330018,98.92580930523836
239,16.74561788485328,58.82875266806095,65.22309419105919,86.73451889464084,91.81238429161128,125.86587404856314,133.93484005120692
240,21.238746016195527,39.0247677136811,56.238601933451996,73.71290286621792,83.85553170915246,94.03860671236858,94.56905270512756
241,28.338425407650767,33.87901317741292,84.51355762699728,95.92295369006338,120.77722517599621,124.09076416501142,134.33986560927843
244,39.48338808646005,40.947285009678126,87.01015879691495,91.61303057483678,92.49861586810694,97.64978800349711,106.50500512578797
246,60.01005301765951,65.16589516493121,80.12790847556363,89.74928676202904,107.5429930454489,114.92630968077873,117.38138717617916
248,0.10841923781020865,66.0094537506091,88.12385786676667,92.19486077360683,95.40034514586507,102.32386758785603,123.46579503618601
251,69.29954957547459,94.35417501145479,115.58350404637926,145.68082168933728,163.98189872164744,171.28917337594123,175.66214588280715
252,64.44863116911658,65.27713422051133,77.26472458211597,78.58656475314733,87.0020951693013,89.3557756813547,91.57898376102347
253,13.880319169345922,32.38621790623233,36.131812072434684,37.068288177728796,55.02479583407964,55.70574759404824,58.3019926446503
254,10.651019475137371,20.01819338675906,23.204181133547383,37.68283739803151,38.2052009315199,45.13728633770944,50.163049440410205
255,46.68950326300832,88.42363817108138,96.80933325467566,98.08627029670645,105.71675632365042,115.52563313892225,125.32061703107203
256,4.375129612672716,16.619295564570113,17.96674377149125,27.236045678774843,30.38685292348464,42.98609887087567,43.517875475431396
257,36.792681913874134,61.631994122112815,67.29217043949396,74.52316963961943,91.06522869420353,113.28979310201748,114.20573179245123
258,4.192108823174206,56.20369769876428,58.10240882630191,74.99264853324206,76.76742730169103,80.3708698761612,84.89510503499524
259,34.20304587351506,47.34696075776299,47.93895308413903,47.94941051644729,62.464943584763695,62.59750077600851,66.06540995308222
260,62.74061235071872,111.12023688935379,131.71531133746896,134.37066724957828,147.2742374425445,161.51459978105422,164.26892925286188
261,54.87607237788477,69.58830916619166,71.70696476519622,87.1885788764834,91.49322266249122,94.34187044417172,100.20346956215967
262,30.452517407292802,35.07443644935736,46.8856615253098,120.5312260335645,137.51384499609296,139.4744605152172,145.80629840104845
